year,month,area_of_origin,estimated_dollar_loss,civilian_casualties,extent_of_fire,ignition_source,fire_alarm_system,smoke_alarm_at_fire_origin,sprinkler_system,status_of_fire_on_arrival,fire_alarm_system_impact_on_evacuation
2017,Winter,"11 - Lobby, Entranceway",4000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,No System,System Presents,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2015,Summer,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2015,Winter,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2017,Summer,24 - Cooking Area or Kitchen,20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2016,Winter,64 - Porch or Balcony,3000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2011,Summer,64 - Porch or Balcony,300,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2011,Summer,79 - Other Outside Area,1,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2011,Summer,79 - Other Outside Area,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2016,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2014,Spring,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",40000,1,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,9 - Unclassified,7 - Not applicable: Occupant(s) first alerted by other means
2017,Spring,81 - Engine Area,15000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,Presents and Activated,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2015,Winter,"31 - Process Manufacturing (inc manf, prod assembly, repair)",10000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2011,Summer,"23 - Dining or Beverage Area (inc mess, canteen, lunchroom, cafeteria",2000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,No System,1 - Fire extinguished prior to arrival,NA
2011,Summer,24 - Cooking Area or Kitchen,300,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2011,Summer,83 - Electrical Systems,500,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2011,Summer,24 - Cooking Area or Kitchen,1000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2011,Summer,"72 - Court, Patio, Terrace",300,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,No System,9 - Unclassified,7 - Not applicable: Occupant(s) first alerted by other means
2014,Spring,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",200,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,No System,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",3 - No one (at risk) evacuated as a result of hearing fire alarm system
2015,Winter,24 - Cooking Area or Kitchen,8000,0,"4 - Spread beyond room of origin, same floor","4 - Spread beyond room of origin, same floor",System Presents,System Presents,Presents and Activated,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2015,Summer,27 - Laundry Area,7200,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,Presents and Activated,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2015,Summer,97 - Other - unclassified,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,1 - Fire extinguished prior to arrival,NA
2014,Spring,69 - Attic Area,3000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2014,Spring,24 - Cooking Area or Kitchen,20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,System Presents,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2016,Autumn,24 - Cooking Area or Kitchen,25000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2016,Autumn,"75 - Trash, rubbish area (outside)",2000,0,9 - Confined to roof/exterior structure,9 - Confined to roof/exterior structure,System Presents,No System,System Presents,"5 - Flames showing from large area (more than one storey, large area outdoors)",7 - Not applicable: Occupant(s) first alerted by other means
2016,Autumn,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",30000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2016,Winter,64 - Porch or Balcony,8000,0,9 - Confined to roof/exterior structure,9 - Confined to roof/exterior structure,System Presents and Operated,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2016,Winter,42 - Garage,2000,1,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2013,Spring,24 - Cooking Area or Kitchen,2000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2017,Summer,50 - Basement/cellar (not partitioned),20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2017,Spring,24 - Cooking Area or Kitchen,15000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2017,Spring,24 - Cooking Area or Kitchen,500,1,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2017,Spring,"75 - Trash, rubbish area (outside)",1000,0,9 - Confined to roof/exterior structure,9 - Confined to roof/exterior structure,System Presents,No System,No System,"5 - Flames showing from large area (more than one storey, large area outdoors)",NA
2015,Winter,"13 - Stairway, Escalator",100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,NA
2013,Spring,27 - Laundry Area,500,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2016,Autumn,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,Presents and Activated,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2013,Spring,64 - Porch or Balcony,4000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2016,Spring,64 - Porch or Balcony,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,NA
